Participant,Commission_Error_FP,Omission_Error_FN,Hit_TP,Correct_Omission_TN,ACC,Hit_mean_RT,Hit_SD_RT,Hit_median_RT,Hit_MAD_RT,mean_all,std_all,Coeff_Var
2,1.7857142857142856,1.0416666666666665,98.95833333333334,98.21428571428571,98.4375,442.57894736842104,76.57572791206854,424.0,56.53185595567867,440.989898989899,76.80062910954797,0.17415507540073408
3,2.6785714285714284,0.0,100.0,97.32142857142857,98.125,389.46875,72.54471624634807,379.0,58.288411458333336,388.9901960784314,72.26717413450532,0.18578147948986926
5,0.8928571428571428,0.0,100.0,99.10714285714286,99.375,467.0104166666667,56.06565602120179,470.0,43.780598958333336,466.1530612244898,55.80569236028388,0.11971538321274477
7,0.4464285714285714,3.125,96.875,99.55357142857143,98.75,495.4731182795699,105.59238602716472,474.0,77.88160480980456,493.9148936170213,106.1041950438461,0.21482282963129004
8,1.7857142857142856,0.0,100.0,98.21428571428571,98.75,377.6770833333333,54.740439163607036,371.0,44.42035590277777,375.89,54.89308156808473,0.14603496120696144
9,1.3392857142857142,1.0416666666666665,98.95833333333334,98.66071428571429,98.75,443.9894736842105,65.88279321043855,443.0,52.873573407202215,466.90816326530614,182.17223563932222,0.39016716770447313
10,0.4464285714285714,4.166666666666666,95.83333333333334,99.55357142857143,98.4375,490.6847826086956,98.5134485545302,475.5,75.82443289224952,503.68817204301075,159.13707370736708,0.31594363842591505
12,0.0,0.0,100.0,100.0,100.0,487.8125,83.11112567235698,484.0,54.1796875,487.8125,83.11112567235698,0.1703751455166831
14,0.0,2.083333333333333,97.91666666666666,100.0,99.375,430.71276595744683,93.87278309057658,411.0,66.94341330918968,430.71276595744683,93.87278309057658,0.21794752909610982
17,0.8928571428571428,0.0,100.0,99.10714285714286,99.375,476.7708333333333,80.88022062110917,471.0,63.65234374999998,497.2244897959184,222.41836359939313,0.44731980858521847
18,0.0,0.0,100.0,100.0,100.0,407.2083333333333,36.12490514769311,404.5,27.579861111111114,407.2083333333333,36.12490514769311,0.08871357040260255
19,0.4464285714285714,0.0,100.0,99.55357142857143,99.6875,460.5625,59.18549119861263,450.0,44.9921875,461.340206185567,59.37256777438306,0.1286958452316236
20,1.3392857142857142,1.0416666666666665,98.95833333333334,98.66071428571429,98.75,412.7368421052632,46.15542902215821,416.0,37.0293628808864,413.2857142857143,45.661010009104565,0.110482913952206
21,0.4464285714285714,0.0,100.0,99.55357142857143,99.6875,463.0520833333333,61.580135175603615,461.5,48.59483506944443,463.6185567010309,61.51209963951691,0.1326782518741665
22,0.8928571428571428,0.0,100.0,99.10714285714286,99.375,389.7083333333333,43.03729512794484,387.0,32.89236111111112,390.44897959183675,43.45257456194551,0.11128873894706931
23,1.3392857142857142,0.0,100.0,98.66071428571429,99.0625,453.1354166666667,69.75349375014041,443.5,59.60221354166666,451.949494949495,70.08047469456662,0.1550626242040564
24,0.8928571428571428,0.0,100.0,99.10714285714286,99.375,396.9375,59.91200784659554,381.0,47.798177083333336,397.3469387755102,59.36035367541572,0.14939174782205294
25,0.0,0.0,100.0,100.0,100.0,425.0,60.01894437767567,413.0,45.041666666666664,425.0,60.01894437767567,0.141221045594531
26,0.4464285714285714,0.0,100.0,99.55357142857143,99.6875,403.5,60.14771291097487,393.5,42.03125,403.319587628866,59.86000097306084,0.14841828368659327
27,0.8928571428571428,0.0,100.0,99.10714285714286,99.375,405.6145833333333,63.63503996544282,400.0,47.42860243055554,405.11224489795916,63.219611118386545,0.1560545550389633
